ibge_code,ibge_name,uf,prefeitura_url,camara_url
1100015,Alta Floresta D'Oeste,RO,,http://www.altaflorestadoeste.ro.leg.br/
1100023,Ariquemes,RO,https://ariquemes.ro.gov.br,http://www.camaradeariquemes.ro.gov.br/
1100031,Cabixi,RO,,http://www.cabixi.ro.leg.br/
1100049,Cacoal,RO,https://cacoal.ro.gov.br/,https://www.cacoal.ro.leg.br/
1100056,Cerejeiras,RO,http://www.cerejeiras.ro.gov.br,https://cerejeiras.ro.leg.br/
1100064,Colorado do Oeste,RO,,https://www.coloradodooeste.ro.leg.br/
1100072,Corumbiara,RO,http://corumbiara.ro.gov.br,http://www.corumbiara.ro.leg.br/
1100080,Costa Marques,RO,https://www.costamarques.ro.gov.br,http://www.costamarques.ro.leg.br/
1100098,Espigão D'Oeste,RO,http://www.espigaodooeste.ro.gov.br,https://espigaodoeste.ro.leg.br/
1100106,Guajará-Mirim,RO,http://www.guajaramirim.ro.gov.br,http://www.guajaramirim.ro.leg.br/
1100114,Jaru,RO,http://jaru.ro.gov.br,https://www.jaru.ro.leg.br/
1100122,Ji-Paraná,RO,http://www.ji-parana.ro.gov.br,http://camaramedici.ro.gov.br/
1100130,Machadinho D'Oeste,RO,http://machadinho.ro.gov.br,http://camarademachadinho.ro.gov.br/
1100148,Nova Brasilândia D'Oeste,RO,,https://www.novabrasilandiadoeste.ro.leg.br/
1100155,Ouro Preto do Oeste,RO,http://www.ouropretodooeste.ro.gov.br,http://www.ouropretodooeste.ro.leg.br/
1100189,Pimenta Bueno,RO,http://pimentabueno.ro.gov.br,http://www.pimentabueno.ro.leg.br/
1100205,Porto Velho,RO,http://www.portovelho.ro.gov.br,http://www.portovelho.ro.leg.br/
1100254,Presidente Médici,RO,,http://camaramedici.ro.gov.br/
1100262,Rio Crespo,RO,http://riocrespo.ro.gov.br,https://www.riocrespo.ro.leg.br/
1100288,Rolim de Moura,RO,https://rolimdemoura.ro.gov.br/,http://www.rolimdemoura.ro.leg.br/
1100296,Santa Luzia D'Oeste,RO,,https://santaluziadoeste.ro.leg.br/
1100304,Vilhena,RO,http://www.vilhena.ro.gov.br,http://www.vilhena.ro.leg.br/
1100320,São Miguel do Guaporé,RO,,http://saomigueldoguapore.ro.leg.br/
1100338,Nova Mamoré,RO,http://www.novamamore.ro.gov.br,https://novamamore.ro.leg.br/
1100346,Alvorada D'Oeste,RO,http://www.alvoradadooeste.ro.gov.br,https://www.camaradealvorada.ro.gov.br/
1100379,Alto Alegre dos Parecis,RO,http://www.altoalegre.ro.gov.br/,
1100403,Alto Paraíso,RO,,http://www.camaradealtoparaiso.ro.gov.br/
1100452,Buritis,RO,https://buritis.ro.gov.br/,https://www.buritis.ro.leg.br/
1100502,Novo Horizonte do Oeste,RO,,https://novohorizontedooeste.ro.leg.br/
1100601,Cacaulândia,RO,http://www.cacaulandia.ro.gov.br,http://www.camaradecacaulandia.ro.gov.br/
1100700,Campo Novo de Rondônia,RO,https://camponovo.ro.gov.br,http://www.camponovoderondonia.ro.leg.br/
1100809,Candeias do Jamari,RO,http://www.candeiasdojamari.ro.gov.br,http://www.candeiasdojamari.ro.leg.br/
1100908,Castanheiras,RO,http://www.castanheiras.ro.gov.br,https://www.castanheiras.ro.leg.br/
1100924,Chupinguaia,RO,,https://chupinguaia.ro.leg.br/
1100940,Cujubim,RO,https://www.cujubim.ro.gov.br,http://camaradecujubim.ro.gov.br/
1101005,Governador Jorge Teixeira,RO,http://governadorjorgeteixeira.ro.gov.br,http://governadorjorgeteixeira.ro.leg.br/
1101104,Itapuã do Oeste,RO,http://www.itapuadooeste.ro.gov.br,http://www.camaradeitapuadooeste.ro.gov.br/
1101203,Ministro Andreazza,RO,https://ministroandreazza.ro.gov.br/,
1101302,Mirante da Serra,RO,http://www.mirantedaserra.ro.gov.br,http://www.mirantedaserra.ro.leg.br/
1101401,Monte Negro,RO,http://www.montenegro.ro.gov.br,https://www.camarademontenegro.ro.gov.br/
1101435,Nova União,RO,,https://www.camaradenovauniao.ro.gov.br/vereador
1101450,Parecis,RO,https://parecis.ro.gov.br/,http://parecis.ro.leg.br/
1101468,Pimenteiras do Oeste,RO,,http://www.pimenteirasdooeste.ro.leg.br/
1101476,Primavera de Rondônia,RO,http://www.primavera.ro.gov.br,https://www.primaveraderondonia.ro.leg.br/
1101484,São Felipe D'Oeste,RO,,http://www.saofelipedoeste.ro.leg.br/
1101492,São Francisco do Guaporé,RO,http://www.saofrancisco.ro.gov.br,http://camaradesaofrancisco.ro.gov.br/
1101500,Seringueiras,RO,https://seringueiras.ro.gov.br/,http://www.camaradeseringueiras.ro.gov.br/
1101559,Teixeirópolis,RO,https://teixeiropolis.ro.gov.br/,http://www.portovelho.ro.leg.br/
1101609,Theobroma,RO,https://www.theobroma.ro.gov.br,http://www.theobroma.ro.leg.br/
